iter	Passed	Remaining
0	32	16391
1	63	15830
2	93	15522
3	124	15497
4	156	15455
5	185	15286
6	214	15085
7	243	15002
8	276	15061
9	305	14983
10	331	14751
11	357	14550
12	382	14338
13	408	14180
14	434	14038
15	458	13878
16	484	13772
17	510	13663
18	534	13531
19	559	13433
20	584	13333
21	609	13247
22	634	13149
23	656	13023
24	682	12974
25	706	12885
26	732	12826
27	778	13128
28	828	13450
29	866	13567
30	903	13672
31	937	13704
32	980	13880
33	1017	13949
34	1053	14002
35	1085	13991
36	1113	13928
37	1135	13804
38	1162	13747
39	1283	14761
40	1312	14692
41	1338	14594
42	1364	14505
43	1390	14406
44	1415	14312
45	1441	14224
46	1464	14111
47	1492	14050
48	1515	13948
49	1541	13873
50	1564	13775
51	1592	13716
52	1616	13631
53	1641	13560
54	1664	13468
55	1687	13375
56	1711	13304
57	1736	13236
58	1759	13151
59	1781	13066
60	1805	12995
61	1828	12914
62	1850	12832
63	1875	12776
64	1898	12704
65	1920	12631
66	1945	12575
67	1970	12515
68	1999	12486
69	2027	12457
70	2052	12399
71	2084	12392
72	2110	12346
73	2136	12300
74	2160	12244
75	2184	12185
76	2209	12135
77	2233	12084
78	2256	12023
79	2278	11963
80	2299	11896
81	2323	11843
82	2347	11793
83	2370	11738
84	2394	11693
85	2420	11651
86	2444	11602
87	2466	11548
88	2489	11494
89	2511	11441
90	2533	11386
91	2557	11339
92	2579	11290
93	2600	11233
94	2624	11187
95	2648	11145
96	2672	11102
97	2696	11063
98	2722	11028
99	2746	10986
100	2770	10945
101	2797	10916
102	2824	10887
103	2849	10850
104	2876	10822
105	2903	10791
106	2930	10763
107	2961	10749
108	2995	10744
109	3021	10714
110	3047	10680
111	3074	10652
112	3098	10611
113	3124	10579
114	3147	10536
115	3175	10511
116	3203	10487
117	3230	10459
118	3256	10426
119	3279	10385
120	3306	10355
121	3329	10315
122	3353	10278
123	3378	10244
124	3399	10199
125	3424	10164
126	3447	10124
127	3471	10088
128	3495	10052
129	3518	10014
130	3540	9973
131	3561	9929
132	3584	9892
133	3607	9853
134	3630	9814
135	3652	9775
136	3674	9737
137	3697	9700
138	3721	9665
139	3744	9627
140	3767	9591
141	3791	9558
142	3814	9523
143	3843	9501
144	3867	9469
145	3896	9448
146	3918	9410
147	3941	9374
148	3963	9336
149	3985	9298
150	4007	9262
151	4030	9227
152	4051	9188
153	4073	9153
154	4094	9114
155	4116	9078
156	4140	9046
157	4163	9011
158	4184	8973
159	4204	8935
160	4229	8905
161	4250	8869
162	4272	8832
163	4292	8794
164	4313	8757
165	4335	8722
166	4358	8690
167	4380	8657
168	4402	8622
169	4426	8593
170	4448	8559
171	4471	8527
172	4492	8491
173	4515	8459
174	4541	8434
175	4566	8406
176	4588	8374
177	4612	8344
178	4635	8312
179	4657	8280
180	4680	8249
181	4701	8214
182	4725	8185
183	4747	8153
184	4773	8128
185	4798	8100
186	4822	8071
187	4844	8039
188	4874	8020
189	4903	8000
190	4933	7981
191	4962	7961
192	4988	7935
193	5012	7906
194	5040	7883
195	5064	7854
196	5091	7830
197	5115	7801
198	5141	7776
199	5167	7750
200	5192	7724
201	5215	7694
202	5242	7669
203	5264	7638
204	5291	7615
205	5314	7584
206	5340	7558
207	5362	7528
208	5384	7497
209	5408	7468
210	5431	7439
211	5456	7413
212	5478	7382
213	5503	7355
214	5529	7329
215	5554	7302
216	5579	7276
217	5606	7252
218	5630	7224
219	5657	7200
220	5681	7172
221	5706	7145
222	5729	7116
223	5756	7092
224	5778	7062
225	5804	7036
226	5826	7007
227	5851	6980
228	5877	6955
229	5899	6926
230	5927	6903
231	5952	6876
232	5975	6847
233	6000	6820
234	6024	6793
235	6048	6765
236	6072	6738
237	6099	6714
238	6126	6690
239	6151	6663
240	6175	6636
241	6202	6612
242	6226	6584
243	6253	6561
244	6276	6532
245	6302	6507
246	6326	6479
247	6352	6454
248	6376	6427
249	6401	6401
250	6424	6373
251	6450	6348
252	6474	6321
253	6502	6298
254	6525	6269
255	6550	6243
256	6573	6215
257	6599	6190
258	6622	6162
259	6649	6138
260	6671	6109
261	6694	6081
262	6720	6055
263	6744	6029
264	6776	6008
265	6804	5986
266	6830	5960
267	6853	5932
268	6878	5907
269	6904	5881
270	6931	5856
271	6953	5829
272	6977	5802
273	7003	5776
274	7028	5750
275	7051	5723
276	7073	5694
277	7098	5668
278	7122	5642
279	7148	5616
280	7170	5588
281	7194	5561
282	7220	5536
283	7243	5509
284	7267	5482
285	7298	5460
286	7326	5437
287	7351	5411
288	7379	5387
289	7407	5363
290	7437	5341
291	7465	5317
292	7496	5296
293	7520	5269
294	7547	5244
295	7569	5217
296	7596	5192
297	7618	5164
298	7648	5141
299	7674	5116
300	7699	5090
301	7728	5066
302	7759	5045
303	7784	5019
304	7811	4994
305	7838	4969
306	7870	4947
307	7895	4921
308	7917	4893
309	7940	4866
310	7966	4841
311	7990	4815
312	8013	4787
313	8035	4759
314	8059	4733
315	8081	4705
316	8102	4677
317	8127	4651
318	8149	4624
319	8174	4598
320	8196	4570
321	8221	4544
322	8243	4517
323	8268	4491
324	8291	4464
325	8313	4437
326	8334	4409
327	8355	4381
328	8380	4355
329	8403	4328
330	8424	4301
331	8445	4273
332	8466	4245
333	8489	4219
334	8510	4191
335	8531	4163
336	8554	4137
337	8577	4110
338	8598	4083
339	8620	4056
340	8641	4029
341	8663	4002
342	8687	3976
343	8709	3949
344	8730	3922
345	8753	3895
346	8777	3870
347	8809	3847
348	8830	3820
349	8853	3794
350	8974	3809
351	9000	3784
352	9026	3758
353	9047	3731
354	9070	3704
355	9091	3677
356	9114	3650
357	9137	3624
358	9157	3596
359	9178	3569
360	9199	3542
361	9220	3514
362	9244	3488
363	9264	3461
364	9289	3435
365	9312	3409
366	9335	3383
367	9357	3356
368	9379	3330
369	9403	3304
370	9426	3277
371	9450	3251
372	9471	3224
373	9493	3198
374	9518	3172
375	9541	3146
376	9564	3120
377	9589	3095
378	9612	3068
379	9637	3043
380	9658	3016
381	9678	2989
382	9699	2963
383	9721	2936
384	9743	2910
385	9765	2884
386	9787	2857
387	9809	2831
388	9831	2805
389	9853	2779
390	9875	2752
391	9899	2727
392	9921	2701
393	9946	2675
394	9976	2651
395	10003	2627
396	10027	2601
397	10056	2577
398	10080	2551
399	10106	2526
400	10128	2500
401	10154	2475
402	10176	2449
403	10202	2424
404	10224	2398
405	10248	2372
406	10272	2347
407	10292	2320
408	10314	2294
409	10335	2268
410	10356	2242
411	10379	2216
412	10402	2191
413	10423	2165
414	10446	2139
415	10467	2113
416	10488	2087
417	10509	2061
418	10530	2035
419	10551	2009
420	10572	1983
421	10593	1958
422	10615	1932
423	10637	1906
424	10657	1880
425	10679	1855
426	10701	1829
427	10725	1804
428	10747	1778
429	10768	1753
430	10792	1727
431	10815	1702
432	10837	1676
433	10859	1651
434	10881	1626
435	10906	1601
436	10930	1575
437	10952	1550
438	10973	1524
439	10996	1499
440	11017	1474
441	11039	1448
442	11060	1423
443	11081	1397
444	11104	1372
445	11124	1346
446	11146	1321
447	11168	1296
448	11190	1271
449	11210	1245
450	11234	1220
451	11256	1195
452	11279	1170
453	11301	1145
454	11323	1119
455	11344	1094
456	11364	1069
457	11388	1044
458	11409	1019
459	11429	993
460	11451	968
461	11471	943
462	11492	918
463	11512	893
464	11539	868
465	11562	843
466	11584	818
467	11606	793
468	11629	768
469	11653	743
470	11677	718
471	11698	694
472	11721	669
473	11746	644
474	11770	619
475	11792	594
476	11813	569
477	11836	544
478	11860	519
479	11882	495
480	11904	470
481	11926	445
482	11949	420
483	11977	395
484	12001	371
485	12023	346
486	12044	321
487	12069	296
488	12090	271
489	12110	247
490	12135	222
491	12157	197
492	12182	172
493	12207	148
494	12229	123
495	12250	98
496	12271	74
497	12293	49
498	12316	24
499	12339	0
